address,DonorName,date,time,amount,type ,volunteerID
88 PARK. Oakville ON,Magnum Zukerman,10/07/2018,4:40 PM,559.54,Cash,10
474 LAKESHORE. Oakville ON,Jana Readwing,03/04/2019,6:42 PM,982.99,Debit,11
403 LAKESHORE. Oakville ON,Lexi Broomhead,07/27/2018,5:48 PM,319.68,Cash,12
158 WATSON. Oakville ON,Corly Frise,01/23/2019,8:27 AM,406.62,Debit,12
281 DOUGLAS. Oakville ON,Dela Bernhardsson,02/10/2019,7:58 PM,552.07,Credit,11
65 DUNN. Oakville ON,Ardath Loukes,08/19/2018,7:37 PM,43.43,Cash,10
136 TRAFALGAR. Oakville ON,Hyacinth Pomfrett,04/23/2019,2:22 PM,859.67,Credit,12
223 CHURCH. Oakville ON,Traci Rosendall,02/27/2019,1:47 PM,676.42,Credit,11
234 ROBINSON. Oakville ON,Felic Siman,09/02/2018,10:04 AM,682.95,Credit,11
152 ROBINSON. Oakville ON,Cad Hun,03/03/2019,2:22 PM,620.84,Credit,12
291 RIVER SIDE. Oakville ON,Robin Napoleone,01/13/2019,8:42 AM,218.9,Cash,10
1469 MILLBROOK. Oakville ON,Neville Dugdale,06/01/2019,3:55 PM,917.52,Credit,10
228 MARTINDALE. Oakville ON,Mair MacComiskey,05/09/2019,3:19 PM,128.25,Debit,11
1441 SIXTH. Oakville ON,Konstantin Bolitho,10/07/2018,3:22 PM,905.98,Credit,11
1135 MCCRANEY. Oakville ON,Mellicent Goldson,07/30/2018,9:11 AM,903.49,Credit,10
