address,DonorName,date,time,amount,type ,volunteerID
2715 ROSEWOOD. Oakville ON,Lorrie Lewtey,07/16/2019,12:42 PM,900.56,Credit,1
365 LYNN. Oakville ON,Karalynn Roycraft,02/22/2019,7:03 PM,738.11,Credit,2
1440 WHITE. OAKS Oakville ON,Kayley Fawlkes,02/09/2019,3:56 PM,851.33,Credit,3
384 IROQUOIS SHORE. Oakville ON,Meade Shakesby,07/17/2019,10:31 AM,895.8,Credit,1
1280 HILLVIEW. Oakville ON,Ofilia Rollings,11/24/2018,8:14 AM,275.07,Debit,1
1395 GOLDEN MEADOW. Oakville ON,Inness Setchell,02/21/2019,2:48 PM,540.88,Credit,2
1511 JASMINE. Oakville ON,Lin Van Niekerk,10/30/2018,8:21 PM,533.03,Credit,3
46 RYLAND. Oakville ON,Mikol Daly,09/15/2018,9:08 AM,343.46,Debit,3
41 BRIDGEWATER. Oakville ON,Sybyl MacEveley,08/12/2018,6:24 PM,916.31,Credit,2
222 ROSS. Oakville ON,Torin Joice,08/14/2018,2:19 PM,531.92,Debit,2
1284 OLD BRIDLE. Oakville ON,Israel Dizlie,09/12/2018,9:36 AM,902.9,Credit,3
1277 VALERIE. Oakville ON,Antonie Hamments,06/16/2019,9:00 AM,661.23,Credit,1
1279 BISHOPSTOKE. Oakville ON,Alwin Bragginton,03/14/2019,9:07 AM,202.52,Debit,2
2345 STRAWFIELD. Oakville ON,Consolata Abramamov,07/08/2019,8:59 AM,242.37,Cash,1
1379 PRINCE JHON. Oakville ON,Cash Beall,03/04/2019,2:18 PM,786.61,Credit,3
