address,DonorName,date,time,amount,type ,volunteerID
2356 MUNN'S. Oakville ON,Robbi MacFayden,07/07/2019,7:49 PM,219.15,Debit,8
2395 SIXTH. Oakville ON,Wally MacKeig,01/17/2019,5:25 PM,961.8,Credit,8
451 LINCOLN. Oakville ON,Charlean Miall,08/02/2018,2:15 PM,617.12,Credit,8
1449 GOLDEN MEADOW. Oakville ON,Nicko Goucher,06/04/2019,5:36 PM,590.18,Credit,9
1384 KATHLEEN. Oakville ON,Arliene Perche,09/20/2018,12:23 PM,21.26,Cash,7
525 IROQUOIS SHORE. Oakville ON,Susan Lyosik,06/23/2019,9:39 AM,944.67,Credit,8
1392 WHITE OAKS. Oakville ON,Knox Osan,12/16/2018,6:46 PM,908.43,Credit,7
1597 LITCHFIELD. Oakville ON,Shaylynn Potter,07/11/2019,6:50 PM,536.12,Credit,7
1537 TRAFALGAR. Oakville ON,Maxy Rottcher,09/04/2018,9:01 AM,680.14,Credit,7
396 FREEMAN. Oakville ON,Codie Yakovitch,06/26/2019,1:43 PM,180.16,Debit,9
341 LYNNWOOD. Oakville ON,Wallas Di Maggio,10/27/2018,1:31 PM,976.27,Credit,9
133 MARTINDALE. Oakville ON,Darcie Snewin,11/24/2018,7:49 PM,795.55,Credit,9
236 NOTTINGHAM. Oakville ON,Ophelie Fell,03/19/2019,8:37 AM,886.72,Credit,9
201 GLOUCESTER. Oakville ON,Kamillah Eads,01/03/2019,8:03 PM,431.66,Debit,7
117 WATSON. Oakville ON,Lida Vel,11/08/2018,3:39 PM,587.57,Credit,8
